Timestamp,Age,Gender ,Educational level,Occupation Status,Monthly Income/ Allowance,Quality Satisfaction,Quality Trust,Counterfeit Concern,Quality vs Competitors,Packaging Clarity,Attractive Benefits,Price Influence,Price Sensitivity,Premium Price Willing,Ad Positive Impression,Ad Recognition,Ad Perception Influence
2026/09/07 6:58:44 AM GMT+1,19,Male,Undergraduate,Student,"Below â_x0082_¦50,000",3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,4 Agree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,3 Neither Agree nor Disagree
2026/09/07 7:28:55 PM GMT+1,18,Male,Undergraduate,Self-employed,"â_x0082_¦100,000â_x0080__x0093_â_x0082_¦199,999",3 Neither Agree nor Disagree,4 Agree,3 Neither Agree nor Disagree,4 Agree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,4 Agree,4 Agree,3 Neither Agree nor Disagree
2026/09/09 8:05:41 AM GMT+1,19,Male,Undergraduate,Student,"Below â_x0082_¦50,000",5 Strongly Agree,4 Agree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,3 Neither Agree nor Disagree,2 Disagree,1 Strongly Disagree,3 Neither Agree nor Disagree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree
2026/09/09 9:31:54 AM GMT+1,18,Female,Undergraduate,Student,"â_x0082_¦50,000â_x0080__x0093_â_x0082_¦99,999",1 Strongly Disagree;2 Disagree,4 Agree,1 Strongly Disagree,1 Strongly Disagree,4 Agree,1 Strongly Disagree,3 Neither Agree nor Disagree,2 Disagree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,2 Disagree,1 Strongly Disagree
2026/09/09 7:06:14 PM GMT+1,18,Male,Undergraduate,Student,"Below â_x0082_¦50,000",4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,2 Disagree,4 Agree,2 Disagree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree
2026/09/09 9:17:36 PM GMT+1,19,Male,Undergraduate,Student,"Below â_x0082_¦50,000",5 Strongly Agree,4 Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,2 Disagree,4 Agree,5 Strongly Agree,5 Strongly Agree
2026/09/09 9:25:20 PM GMT+1,18,Male,Undergraduate,Student,"Below â_x0082_¦50,000",2 Disagree,4 Agree,4 Agree,3 Neither Agree nor Disagree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree
2026/09/09 9:31:09 PM GMT+1,20,Female,Undergraduate,Student,Prefer not to say,4 Agree,4 Agree,4 Agree,3 Neither Agree nor Disagree,4 Agree,3 Neither Agree nor Disagree,4 Agree,5 Strongly Agree,1 Strongly Disagree,4 Agree,3 Neither Agree nor Disagree,4 Agree
2026/09/09 9:44:09 PM GMT+1,19,Male,Undergraduate,Student,"Below â_x0082_¦50,000",4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree
2026/09/10 10:14:09 PM GMT+1,25,Male,Undergraduate,Student,"Below â_x0082_¦50,000",2 Disagree,2 Disagree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,5 Strongly Agree,4 Agree
